Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income- Restricted Rental,Income- Restricted Ownership,Tenure,Public/ Private,Includes Elderly Units?,Section_8
Mt. Bowdoin/Erie Ellington - HOME AGAIN,Roxbury,2121,16,6,10,0,0,0,16,6,10,Ownership/Rental,Private,,
Munevar,Jamaica Plain,2130,3,2,1,1,0,1,2,2,0,Ownership/Rental,Private,,
Mystic Studios,South End,2118,32,32,0,26,26,0,6,6,0,Rental,Private,,
Nashua St Residences at the Fleet Center,Central,2114,503,503,0,473,473,0,30,30,0,Rental,Private,,
Nate Smith House,Jamaica Plain,2130,44,44,0,0,0,0,44,44,0,Rental - Elderly,Private,Y,
Nazing Court,Roxbury,2121,151,151,0,0,0,0,151,151,0,Rental,Private,,
NEBH Redevelopment,Jamaica Plain,2120,75,75,0,60,60,0,15,15,0,Rental - Elderly,Private,Y,
Neponset Fields - Elderly Housing (202),Hyde Park,2136,31,31,0,0,0,0,31,31,0,Rental - Elderly,Private,Y,
New Port Antonio Apts,Roxbury,2119,227,227,0,0,0,0,227,227,0,Rental,Private,,Y
Newcastle/Saranac,South End,2127,97,97,0,48,48,0,49,49,0,Rental,Private,,Y
NOAH FTHB program,East Boston,2128,8,0,8,0,0,0,8,0,8,Ownership,Private,,
Nor-al,Dorchester,2124,57,57,0,0,0,0,57,57,0,Rental,Private,,Y
Norfield,Roxbury,2121,45,45,0,0,0,0,45,45,0,Rental,Private,,Y
Norflett,Roxbury,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Norfolk Street Transitional,Mattapan,2126,3,3,0,0,0,0,3,3,0,Rental,Private,,
North Suffolk Group Home,East Boston,2128,28,28,0,0,0,0,28,28,0,Rental,Private,,
North Suffolk Group Home 2,Hyde Park,2136,28,28,0,0,0,0,28,28,0,Rental,Private,,
Northampton Street,South End,2118,32,0,32,26,0,26,6,0,6,Ownership,Private,,
Northampton Tower,South End,2118,185,185,0,0,0,0,185,185,0,Rental,Private,,
Northampton/Mass. Ave,South End,2118,12,12,0,0,0,0,12,12,0,Rental,Private,,
Norway Housing,Fenway/Kenmore,2115,136,136,0,0,0,0,136,136,0,Rental,Private,Y,Y
Norwell Whitfield (HOME AGAIN),Dorchester,2124,20,2,18,0,0,0,20,2,18,Ownership/Rental,Private,,
Nu Life Development,Roxbury,2121,16,0,16,0,0,0,16,0,16,Ownership,Private,,
Oak Terrace,Central,2111,88,88,0,0,0,0,88,88,0,Rental - Elderly,Private,Y?,Y
Off Centre Lofts,Jamaica Plain,2130,21,21,0,19,19,0,2,2,0,Rental,Private,,
Old Colony (2-24),South Boston,2127,873,873,0,0,0,0,873,873,0,Rental,Public,,
Old Colony Square,South Boston,2127,24,0,24,21,0,21,3,0,3,Ownership,Private,,
Oliveira,Dorchester,2125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Oliver Lofts,Jamaica Plain,2120,62,62,0,19,19,0,43,43,0,Rental,Private,,
Olmstead Green Phase 2,Mattapan,2124,50,50,0,0,0,0,50,50,0,Rental,Private,,
Olmstead Green Phase I Rental,Mattapan,2124,51,51,0,0,0,0,51,51,0,Rental,Private,,
Olmsted Green Rental Housing Phase 3,Mattapan,2124,50,50,0,0,0,0,50,50,0,Rental,Private,,
Olmsted Place,Jamaica Plain,2115,196,196,0,159,159,0,37,37,0,Rental,Private,,
On Luck Housing,Central,2111,75,75,0,1,1,0,74,74,0,Rental - Elderly,Private,Y,Y
One Canal,Central,2114,310,310,0,290,290,0,20,20,0,Rental,Private,,
One Greenway (Parcel 24 North/Affordable),Central,2111,312,312,0,217,217,0,95,95,0,Rental,Private,,
One Lenox (SPO),South End,2118,26,26,0,1,0,1,25,25,0,Rental,Private,,
One Lincoln Plaza,Central,2111,85,0,85,74,0,74,11,0,11,Ownership,Private,,
Orchard Gardens,Roxbury,2119,331,331,0,49,49,0,282,282,0,Rental,Public,,
Orient Heights (200-8),East Boston,2128,331,331,0,0,0,0,331,331,0,Rental,Public,,
Otis Field Estates,Dorchester,2121,10,0,10,0,0,0,10,0,10,Ownership,Private,,
Owens,Roxbury,2121,2,2,0,0,0,0,2,2,0,Rental,Private,,
Oxford Ping On,Central,2111,67,67,0,1,1,0,66,66,0,Rental,Private,,
Oxford Place,Central,2111,39,39,0,0,0,0,39,39,0,Rental,Private,,Y
Parcel 24/South Homeownership,Central,2111,51,0,51,0,0,0,51,0,51,Ownership,Private,,
Parcel 25 (Phase 1A),Jamaica Plain,2120,40,40,0,0,0,0,40,40,0,Rental,Private,,
Parcel P-2,Charlestown,2129,21,0,21,14,0,14,7,0,7,Ownership,Private,,
Parcel R-8,South End,2118,3,0,3,2,0,2,1,0,1,Ownership,Private,,
Parcel U (Phase A),Roslindale,2130,24,0,24,21,0,21,3,0,3,Ownership,Private,,
Park Congregate,Dorchester,2124,18,18,0,0,0,0,18,18,0,Rental - Elderly,Private,Y,
Park Gardens,Roxbury,2119,38,38,0,0,0,0,38,38,0,Rental,Private,,Y
Park Lane Seaport Apartments,South Boston,2127,460,0,460,445,0,445,15,0,15,Ownership,Private,,
Parker Hill Apts,Jamaica Plain,2120,90,90,0,0,0,0,90,90,0,Rental,Private,,
Parkside on Adams,Roslindale,2131,43,43,0,37,37,0,6,6,0,Rental,Private,,
Parkview SRO,Fenway/Kenmore,2115,61,61,0,0,0,0,61,61,0,Rental - SRO,Private,,
Parmelee Court,South End,2118,74,74,0,25,25,0,49,49,0,Rental,Private,,
Parry,Roxbury,2121,2,2,0,0,0,0,2,2,0,Rental,Private,,
Pasciucco Apts (2-54),Dorchester,2125,92,92,0,0,0,0,92,92,0,Rental - Elderly,Public,Y,
Pass,Dorchester,2124,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Patricia White (2-71),Allston/Brighton,2135,225,225,0,0,0,0,225,225,0,Rental - Elderly,Public,Y,
Patrick,Mattapan,2126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
PBX Residences,Central,2111,46,46,0,39,39,0,7,7,0,Rental,Private,,
Peabody Building,Dorchester,2124,18,18,0,7,7,0,11,11,0,Rental,Private,,
Peabody Square/Englewood (2-83),Dorchester,2124,103,103,0,0,0,0,103,103,0,Rental - Elderly,Public,Y,
Penniman on the Park,Allston/Brighton,2134,36,0,36,30,0,30,6,0,6,Ownership,Private,,
Penny Savings,South End,2118,23,0,23,21,0,21,2,0,2,Ownership,Private,,
Pereira,Dorchester,2125,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Perkins,Mattapan,2126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Peterborough Housing,Fenway/Kenmore,2215,220,220,0,0,0,0,220,220,0,Rental,Private,,Y
Peters,Dorchester,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Phillips Brooks School,Roxbury,2121,56,56,0,0,0,0,56,56,0,Rental,Private,,
Pickle Factory (Oliver Lofts),Jamaica Plain,2120,62,62,0,19,19,0,43,43,0,Rental,Private,,
Pier 4,South Boston,2110,369,369,0,337,337,0,32,32,0,Rental,Private,,
Pine Street,South End,2118,11,11,0,0,0,0,11,11,0,Rental,Private,,
Pine Street 2,Fenway/Kenmore,2215,22,22,0,0,0,0,22,22,0,Rental,Private,,
Pine Street Inn (689-1),South End,2118,150,150,0,0,0,0,150,150,0,Rental,Public,,
Pinnock,Mattapan,2126,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Pond View Apartments,Jamaica Plain,2130,60,60,0,4,4,0,56,56,0,Rental,Private,,Y
Port 45,South Boston,2127,104,0,104,91,0,91,13,0,13,Ownership,Private,,
Porter House,South End,2118,5,0,5,2,0,2,3,0,3,Ownership,Private,,
Portis Family House,Jamaica Plain,2115,7,7,0,0,0,0,7,7,0,Rental,Private,,
Powell,Roxbury,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Prang Estates,Roxbury,2119,33,33,0,0,0,0,33,33,0,Rental,Private,,
Project Family Independence,Roxbury,2119,15,15,0,0,0,0,15,15,0,Rental,Private,,
Putnam Place,Roxbury,2121,9,1,8,2,0,2,7,1,6,Ownership/Rental,Private,,
Quincy Commons,Roxbury,2119,40,40,0,0,0,0,40,40,0,Rental - Elderly,Private,Y,
Quincy Tower,Central,2116,161,161,0,0,0,0,161,161,0,Rental - Elderly,Private,Y,
R-87 Prospect St,Charlestown,2129,14,0,14,11,0,11,3,0,3,Ownership,Private,,
RAP-UP I,Roxbury,2119,33,33,0,0,0,0,33,33,0,Rental,Private,,Y
RAP-UP II B,Roxbury,2119,51,51,0,0,0,0,51,51,0,Rental,Private,,Y
Raven-Ramsey-Folsom,Dorchester,2125,7,4,3,1,0,1,6,3,3,Ownership/Rental,Private,,
Reddick,Roxbury,2119,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Renwood-Cunard,South End,2120,17,17,0,0,0,0,17,17,0,Rental,Private,,
Reservoir Towers,Allston/Brighton,2135,242,242,0,0,0,0,242,242,0,Rental,Private,Y,Y
Residences At Bigelow Court,Allston/Brighton,2135,26,0,26,23,0,23,3,0,3,Ownership/Rental,Private,,
Residences at Dahlgren Hall,South Boston,2127,18,0,18,16,0,16,2,0,2,Ownership,Private,,
Riley House - 202,Hyde Park,2136,41,41,0,1,1,0,40,40,0,Rental - Elderly,Private,Y,
Rivers Edge Condominiums,Mattapan,2126,62,62,0,56,56,0,6,6,0,Rental,Private,,
RMSC Family House Shelter Conversion,Roxbury,2121,8,8,0,0,0,0,8,8,0,Rental,Private,,
Robert L. Fortes House,South End,2118,44,44,0,0,0,0,44,44,0,Rental - Elderly,Private,Y,Y
Robinson,Roxbury,2121,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Rockingham Glen,West Roxbury,2132,143,143,0,114,114,0,29,29,0,Rental,Private,,
Rockland 202: Warren Gardens,Roxbury,2119,40,40,0,0,0,0,40,40,0,Rental,Private,,
Rockland Street Elderly Housing,Roxbury,2119,40,40,0,0,0,0,40,40,0,Rental - Elderly,Private,Y,
Rockland Towers (2-50),West Roxbury,2132,69,69,0,0,0,0,69,69,0,Rental - Elderly,Public,Y,
Rockvale Circle,Jamaica Plain,2130,30,30,0,15,15,0,15,15,0,Cooperative,Private,,
Rodrigues,Jamaica Plain,2130,2,2,0,1,1,0,1,1,0,Rental,Private,,
Rollins Square - Parcel 32C,South End,2118,184,37,147,74,0,74,110,37,73,Ownership/Rental - Elderly,Private,Y,
Roslindale Commons Condominiums,Roslindale,2131,12,0,12,11,0,11,1,0,1,Ownership,Private,,
Roslindale School,Roslindale,2131,84,84,0,0,0,0,84,84,0,Rental - Elderly,Private,Y,Y
Roslindale Senior NP Hsg,Roslindale,2131,80,80,0,1,1,0,79,79,0,Rental - Elderly,Private,Y,
Roxbury Corners Coop,South End,2118,54,54,0,0,0,0,54,54,0,Rental,Private,,
Roxbury Crossing Senior Building,Jamaica Plain,2120,40,40,0,1,1,0,39,39,0,Rental - Elderly,Private,Y,
Roxbury Tenants of Harvard,Jamaica Plain,2115,20,20,0,7,7,0,13,13,0,Rental,Private,,
Roxse Homes,South End,2118,346,346,0,0,0,0,346,346,0,Rental,Private,,Y
RTH Restoration Housing,Jamaica Plain,2115,81,81,0,0,0,0,81,81,0,Rental - Elderly,Private,Y,Y
Ruggles Assisted Living,Roxbury,2119,43,43,0,0,0,0,43,43,0,Rental - Elderly,Private,Y,
Ruggles Shawmut Housing,Roxbury,2119,43,43,0,0,0,0,43,43,0,Rental,Private,,Y
Rutherford Landing,Charlestown,2129,18,18,0,16,16,0,2,2,0,Rental,Private,,
Rutland Square,South End,2118,5,5,0,0,0,0,5,5,0,Rental,Private,,
Rutland/East Springfield St (2-74),South End,2118,13,13,0,0,0,0,13,13,0,Rental,Public,,
S Boston Hsg Initiative- Habitat,South Boston,2127,7,0,7,0,0,0,7,0,7,Ownership,Private,,
Safe Haven,Back Bay/Beacon Hill,2116,6,6,0,0,0,0,6,6,0,Rental,Private,,
Saltonstall,Back Bay/Beacon Hill,2114,75,0,75,56,0,56,19,0,19,Ownership - Elderly,Private,Y,
Sarah Baker Manor,Roxbury,2119,41,41,0,0,0,0,41,41,0,Rental - Elderly,Private,Y,Y
Saratoga Heights,East Boston,2128,21,0,21,18,0,18,3,0,3,Ownership,Private,,
Sargent Prince SRO,Roxbury,2119,29,29,0,0,0,0,29,29,0,Rental - SRO,Private,,
Sargent Street Homes - Home Again,Roxbury,2125,16,5,11,0,0,0,16,5,11,Ownership/Rental,Private,,
Savin Hill Apartments,Dorchester,2125,132,132,0,0,0,0,132,132,0,Rental,Private,Y,Y
Savin Maywood Init. (Phase II),Roxbury,2119,8,0,8,0,0,0,8,0,8,Ownership,Private,,
Savin/Creston Project,Roxbury,2119,28,28,0,2,2,0,26,26,0,Rental,Private,,
Savin/Maywood (Phase III) - Home Again,Roxbury,2119,5,0,5,0,0,0,5,0,5,Ownership,Private,,
Scattered Site Coop,Jamaica Plain,2130,18,18,0,3,3,0,15,15,0,Cooperative,Private,,
School House 77,Roxbury,2119,38,38,0,0,0,0,38,38,0,Rental,Private,Y,
Schoolhouse Brookledge,Mattapan,2126,90,90,0,0,0,0,90,90,0,Rental - Elderly,Private,Y,Y
Seaport Square Parcels B & C,South Boston,2210,832,832,0,736,736,0,96,96,0,Rental,Private,,
SECD Housing,South End,2118,10,10,0,0,0,0,10,10,0,Rental,Private,,Y
SECHC,South End,2118,58,0,58,51,0,51,7,0,7,Ownership,Private,,
Seth Apartments I,South End,2118,185,185,0,0,0,0,185,185,0,Rental,Private,,Y
Seton Manor,Allston/Brighton,2135,19,19,0,0,0,0,19,19,0,Rental,Private,,
Shalom Properties,East Boston,2128,30,30,0,0,0,0,30,30,0,Rental,Private,,
Shawmut Ave. Lodging House,South End,2118,15,15,0,0,0,0,15,15,0,Rental - SRO,Private,,
Shawmut Estates,Roxbury,2119,15,0,15,0,0,0,15,0,15,Ownership,Private,,
Shore Plaza East,East Boston,2128,380,380,0,0,0,0,380,380,0,Rental,Private,,Y
Signal Building 154 West Second,South Boston,2127,75,0,75,66,0,66,9,0,9,Ownership,Private,,
Singleton,East Boston,2128,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Siochain II,Roxbury,,6,6,0,0,0,0,6,6,0,Rental,Private,,
Siochain Rental Rehab Project I,East Boston,2128,12,12,0,1,1,0,11,11,0,Rental,Private,,
Sister Clara Co-op,Roxbury,2125,25,25,0,0,0,0,25,25,0,Rental,Private,,
Six55 Condominium,South Boston,2127,18,0,18,17,0,17,1,0,1,,Private,,
Smith House,Roxbury,2119,132,132,0,0,0,0,132,132,0,Rental - Elderly,Private,Y,
"Smith, Steven",Roxbury,2121,1,1,0,0,0,0,1,1,0,Rental,Private,,
Soares,Dorchester,2125,1,1,0,0,0,0,1,1,0,Rental,Private,,
"Sonoma, Maple, Schuyler",Roxbury,2121,115,115,0,15,15,0,100,100,0,Rental,Private,,Y
Sophia Snow House,West Roxbury,2132,102,102,0,0,0,0,102,102,0,Rental,Private,Y,
South Boston Coop Svc Hsg,South Boston,2127,65,65,0,0,0,0,65,65,0,Rental - Elderly,Private,Y,
South Boston Elderly Housing,South Boston,2127,50,50,0,0,0,0,50,50,0,Rental - Elderly,Private,Y,
South Boston Housing Initiative - Cityside,South Boston,2127,5,0,5,0,0,0,5,0,5,Ownership,Private,,
South Boston Portfolio,South Boston,2127,27,27,0,0,0,0,27,27,0,Rental,Private,,
South Boston Supported Apts,South Boston,,7,7,0,0,0,0,7,7,0,Rental,Private,,
South Cove Apts,Central,2109,231,231,0,2,2,0,229,229,0,Rental - Elderly,Private,Y,Y
South End Apartments,South End,2120,27,27,0,0,0,0,27,27,0,Rental,Private,,Y
South End Apartments Renovation Project,South End,2118,5,5,0,0,0,0,5,5,0,Rental,Private,,
South End CHC,South End,2118,60,2,58,54,0,54,6,2,4,Ownership/Rental,Private,,
South End Coop. Housing,South End,2118,75,75,0,2,2,0,73,73,0,Rental,Private,,
South End Tenants I,South End,2118,100,100,0,0,0,0,100,100,0,Rental,Private,,Y
South End Tenants II,South End,2118,185,185,0,0,0,0,185,185,0,Rental,Private,,Y
South Street (200-12),Jamaica Plain,2130,132,132,0,0,0,0,132,132,0,Rental,Public,,
Southwest Crossing Condominium,Jamaica Plain,2131,1,1,0,0,0,0,1,1,0,Ownership/Rental,Private,,
Spencer House,Roxbury,2119,46,46,0,0,0,0,46,46,0,Rental,Private,Y,
Spring St/Temple St (2-70),West Roxbury,2132,104,104,0,0,0,0,104,104,0,Rental - Elderly,Public,Y,
St Botolph Apts (2-53),Back Bay/Beacon Hill,2116,132,132,0,0,0,0,132,132,0,Rental - Elderly,Public,Y,
St Botolph St. Assisted Living Community,Fenway/Kenmore,2118,82,82,0,28,28,0,54,54,0,Rental - Elderly,Private,Y,
St Botolph Street Apts,Back Bay/Beacon Hill,2115,135,135,0,43,43,0,92,92,0,Rental,Private,,Y
St Botolph Terrace,Fenway/Kenmore,2115,52,52,0,0,0,0,52,52,0,Rental,Private,,Y
St Cecilia's House,Fenway/Kenmore,2115,123,123,0,0,0,0,123,123,0,Rental - Elderly,Private,Y,
St Helena House,South End,2118,74,74,0,1,1,0,73,73,0,Rental - Elderly,Private,Y,Y
St James Estate Condominium,Roxbury,2119,22,0,22,14,0,14,8,0,8,Ownership,Private,,
St John of God - Market & Clergy,Allston/Brighton,2135,92,8,84,84,0,84,8,8,0,Ownership/Rental,Private,,
St Josephs Housing,Roxbury,2119,137,137,0,32,32,0,105,105,,Rental,Private,,Y
St Kevin's,Dorchester,2125,80,80,0,0,0,0,80,80,0,Rental,Private,,
St Peter and Paul Church and Rectory,South Boston,2127,44,0,44,37,0,37,7,0,7,Ownership,Private,,
Stafford Heights/New Boston Coop,Roxbury,2119,41,41,0,0,0,0,41,41,0,Cooperative,Private,,
Stanwood Homes - Home Again,Roxbury,2121,19,7,12,0,0,0,19,7,12,Ownership/Rental,Private,,
Starbord Place,Charlestown,2129,54,0,54,43,0,43,11,0,11,Ownership,Private,,
Stille,South Boston,2127,2,1,1,1,0,1,1,1,0,Ownership/Rental,Private,,
Stonewall at Audubon Circle Phase I,Fenway/Kenmore,2215,53,0,53,48,0,48,5,0,5,Ownership,Private,,
Stony Brook Gardens/ Chestnut-Lamartine,Jamaica Plain,2130,50,50,0,0,0,0,50,50,0,Cooperative,Private,,
Stony Brook Village (fmrly Canterbury Hts),Hyde Park,2136,98,98,0,0,0,0,98,98,0,Rental,Private,,
Strathcona Arms (p/o Ten Most Wanted),Roxbury,2121,14,14,0,0,0,0,14,14,0,Rental,Private,,
Sullivan,Roxbury,2121,1,1,0,0,0,0,1,1,0,Rental,Private,,
Sumner Court,Dorchester,2125,10,0,10,0,0,0,10,0,10,Ownership,Private,,
Sumner Hill House,Jamaica Plain,2130,75,0,75,45,0,45,30,0,30,Rental,Private,,
Suppressed1,South End,2118,17,17,0,0,0,0,17,17,0,Rental - Suppressed,Private,,
Suppressed10,Roxbury,2124,11,11,0,0,0,0,11,11,0,Rental - Suppressed,Private,,
Suppressed11,Fenway/Kenmore,2115,75,75,0,0,0,0,75,75,0,Rental - Suppressed,Private,Y,
Suppressed12,Roxbury,2119,20,20,0,0,0,0,20,20,0,Rental - Suppressed,Private,,
Suppressed13,Fenway/Kenmore,2215,16,16,0,0,0,0,16,16,0,Rental - Suppressed,Private,,
Suppressed14,Roxbury,2119,12,12,0,0,0,0,12,12,0,Rental - Suppressed,Private,,
Suppressed15,Allston/Brighton,2135,18,18,0,0,0,0,18,18,0,Rental - Suppressed,Private,,
Suppressed16,South End,2118,15,15,0,0,0,0,15,15,0,Rental - Suppressed,Private,,
Suppressed17,East Boston,2128,18,18,0,0,0,0,18,18,0,Rental - Suppressed,Private,,
Suppressed18,Dorchester,2122,4,4,0,0,0,0,4,4,0,Rental - Suppressed,Private,,
Suppressed19,Dorchester,2122,6,6,0,0,0,0,6,6,0,Rental - Suppressed,Private,,
Suppressed2,South End,2120,75,75,0,0,0,0,75,75,0,Rental - Suppressed,Private,,
Suppressed20,Dorchester,2125,6,6,0,0,0,0,6,6,0,Rental - Suppressed,Private,,
Suppressed21,South End,2118,3,3,0,0,0,0,3,3,0,Rental - Suppressed,Private,,
Suppressed22,South End,2118,23,23,0,0,0,0,23,23,0,Rental - Suppressed,Private,,
Suppressed23,Mattapan,2124,4,4,0,0,0,0,4,4,0,Rental - Suppressed,Private,,
Suppressed24,Mattapan,2124,5,5,0,0,0,0,5,5,0,Rental - Suppressed,Private,,
Suppressed25,Dorchester,2124,11,11,0,1,1,0,10,10,0,Rental - Suppressed,Private,,
Suppressed26,Central,2116,56,56,0,0,0,0,56,56,0,Rental - Suppressed,Private,,
Suppressed27,Allston/Brighton,2135,102,102,0,33,33,0,69,69,0,Rental - Suppressed,Private,Y,
Suppressed28,Jamaica Plain,2130,6,6,0,0,0,0,6,6,0,Rental - Suppressed,Private,,
Suppressed29,Mattapan,2126,8,8,0,0,0,0,8,8,0,Rental - Suppressed,Private,,
Suppressed3,Allston/Brighton,2134,12,12,0,0,0,0,12,12,0,Rental - Suppressed,Private,,
Suppressed30,Roxbury,2125,13,13,0,0,0,0,13,13,0,Rental - Suppressed,Private,,
Suppressed4,Dorchester,2125,9,9,0,1,1,0,8,8,0,Rental - Suppressed,Private,,Y
Suppressed5,Dorchester,2125,12,12,0,0,0,0,12,12,0,Rental - Suppressed,Private,,
Suppressed6,West Roxbury,2132,4,4,0,0,0,0,4,4,0,Rental - Suppressed,Private,,
Suppressed7,Charlestown,2129,25,25,0,0,0,0,25,25,0,Rental - Suppressed,Private,,
Suppressed8,Fenway/Kenmore,2115,14,14,0,1,1,0,13,13,0,Rental - Suppressed,Private,,
Suppressed9,Roxbury,2119,9,9,0,0,0,0,9,9,0,Rental - Suppressed,Private,,
Symphony Court at Burbank Street,Fenway/Kenmore,2115,34,0,34,32,0,32,2,0,2,Ownership,Private,,
Symphony Plaza East,Back Bay/Beacon Hill,2115,188,188,0,0,0,0,188,188,0,Rental - Elderly,Private,Y,Y
Symphony Plaza West,Fenway/Kenmore,2115,216,216,0,0,0,0,216,216,0,Rental - Elderly,Private,Y,Y
TAB I,Dorchester,2125,71,71,0,0,0,0,71,71,0,Rental - Elderly,Private,Y,Y
TAB II,Roxbury,2119,68,68,0,1,1,0,67,67,0,Rental,Private,,Y
TAB II - separate,Dorchester,2125,98,98,0,0,0,0,98,98,0,Rental,Private,,
Tai Tung Village,Central,2111,215,215,0,1,1,0,214,214,0,Rental,Private,,Y
Taino Tower,South End,2118,27,0,27,12,0,12,15,0,15,Ownership,Private,,
Talbot/Bernard (Elderly) 202,Dorchester,2124,31,31,0,1,1,0,30,30,0,Rental - Elderly,Private,Y,
Talbot/Bernard (Rental),Mattapan,2124,44,44,0,0,0,0,44,44,0,Rental,Private,,
Tate,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Taurus Apts,Roxbury,2121,38,38,0,0,0,0,38,38,0,Rental,Private,,Y
Taurus at Fountain Hill,Roxbury,2119,73,73,0,0,0,0,73,73,0,Rental,Private,,Y
TDC III,South End,2118,94,94,0,32,32,0,62,62,0,Rental,Private,,
Tebroc Levant (HOME AGAIN),Dorchester,2124,5,1,4,0,0,0,5,1,4,Ownership/Rental,Private,,
Telford 180 (Formerly Charlesview Telford),Allston/Brighton,2135,85,0,85,79,0,79,6,0,6,Ownership,Private,,
Ten Most Wanted - 1,Roxbury,2121,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
Ten Most Wanted - 10,Roxbury,2125,3,2,1,0,0,0,3,2,1,Ownership/Rental,Private,,
Ten Most Wanted - 11,Roxbury,2121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 12,Roxbury,2125,1,0,1,0,0,0,1,0,1,Ownership,Private,,
Ten Most Wanted - 13,Roxbury,2119,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 14,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 15,Roxbury,2125,1,0,1,0,0,0,1,0,1,Ownership,Private,,
Ten Most Wanted - 2,Mattapan,2126,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 3,Roxbury,2119,4,2,2,0,0,0,4,2,2,Ownership/Rental,Private,,
Ten Most Wanted - 4,Dorchester,2122,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 5,Roxbury,2121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 6,Roxbury,2121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Ten Most Wanted - 7,Dorchester,2124,2,1,1,0,0,0,2,1,1,Ownership,Private,,
Ten Most Wanted - 8,Charlestown,2129,1,0,1,0,0,0,1,0,1,Ownership,Private,,
Ten Most Wanted - 9,Roxbury,2121,2,1,1,0,0,0,2,1,1,Ownership/Rental,Private,,
Tent City,South End,2116,270,270,0,0,0,0,270,270,0,Rental,Private,,
Thane St Apts,Dorchester,2124,6,6,0,0,0,0,6,6,0,Rental,Private,,Y
The 1850 Condominium,South End,2118,87,0,87,80,0,80,7,0,7,Ownership,Private,,
The Aberdeen,Allston/Brighton,2125,40,0,40,35,0,35,5,0,5,Ownership,Private,,
The Anchorage,Charlestown,2129,112,112,0,89,89,0,23,23,0,Rental,Private,Y,
The Beverly,Central,2114,239,239,0,0,0,0,239,239,0,Rental,Private,,
The Brownstones,South End,2116,35,35,0,28,28,0,7,7,0,Rental,Private,,
The Bryant,South End,2116,50,0,50,48,0,48,2,0,2,Ownership,Private,,
The Bulfinch,Jamaica Plain,2120,5,5,0,0,0,0,5,5,0,Ownership,Private,,
The Carillon,Fenway/Kenmore,2115,31,30,1,30,30,0,1,0,1,Ownership/Rental,Private,,
The Chester,South End,2118,17,17,0,7,7,0,10,10,0,Rental,Private,,Y
The Clarendon,Back Bay/Beacon Hill,2116,285,178,107,248,142,106,37,36,1,Ownership/Rental,Private,,
The Commons at Forest Hills,Jamaica Plain,2130,283,283,0,243,243,0,40,40,0,Rental,Private,,
The Dorchester,Mattapan,2126,47,47,0,0,0,0,47,47,0,Rental,Private,,Y
The Edge,Allston/Brighton,2134,79,79,0,69,69,0,10,10,0,Rental,Private,,
The Homes at Roxbury Crossing,Jamaica Plain,2120,22,0,22,0,0,0,22,0,22,Ownership,Private,,
The Lancaster,Allston/Brighton,2134,55,0,55,37,0,37,18,0,18,Ownership,Private,,
The Macallen,South Boston,2127,144,0,144,124,0,124,20,0,20,Ownership,Private,,
The Mandarin,Back Bay/Beacon Hill,2116,85,85,0,75,75,0,10,10,0,Rental,Private,,
The Metropolitan,Central,2111,251,133,118,136,52,84,115,81,34,Ownership/Rental,Private,,Y
The Modern,South End,2118,62,0,62,53,0,53,9,0,9,Ownership,Private,,
The Mt Vernon,Allston/Brighton,2134,7,7,0,5,5,0,2,2,0,Rental,Private,,
The Nautica,Charlestown,2129,117,0,117,105,0,105,12,0,12,Ownership,Private,,
The Pierce,Fenway/Kenmore,2215,349,240,109,307,68,239,42,41,1,Ownership/Rental,Private,,
The Residences at St. Augustine,South Boston,2127,29,0,29,25,0,25,4,0,4,Ownership,Private,,
The Residences at x West Broadway,South Boston,2127,139,139,0,122,122,0,17,17,0,Rental,Private,,
The Residences on x E Street,South Boston,2127,34,0,34,30,0,30,4,0,4,Ownership,Private,,
The Seville Boston Harbor,East Boston,2128,66,0,66,58,0,58,8,0,8,Ownership,Private,,
The Stearns,Central,2111,140,140,0,1,1,0,139,139,0,Rental - Elderly,Private,Y,Y
